Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Price to book value,Return on equity,Debt,Sustainable Growth Rate,Graham,Sales growth 3Years,Profit growth 3Years,Profit after tax,OPM,Return on capital employed,Sales latest quarter,Return on assets,Debt to equity,Equity capital,Working capital,Free cash flow last year,Free cash flow preceding year
Suraj,531638,SURAJLTD,Steel - Medium / Small,397.35,729.70,33.81,5.60,18.01,50.97,15.61,137.03,20.63,149.31,21.58,16.60,23.52,63.61,12.28,0.39,18.36,71.74,6.59,26.01
Suraj Products,518075,,Steel - Medium / Small,369.15,420.83,18.29,2.98,24.78,50.32,22.83,237.26,16.55,46.77,23.01,12.12,25.99,67.22,16.17,0.36,11.40,110.03,30.50,13.57
Surani Steel Tub,,SURANI,Steel - Medium / Small,130.25,167.20,56.49,1.60,0.90,0.00,0.90,69.41,13.33,-49.53,2.96,1.23,0.86,110.79,0.57,0.00,10.63,90.17,-63.07,5.29
Surya Roshni,500336,SURYAROSNI,Steel - Large,262.80,5719.47,17.75,2.52,16.17,73.40,13.50,186.33,12.02,27.64,322.22,7.36,20.81,1867.77,10.89,0.03,54.38,1550.26,488.71,246.13
Swastik Pipe,,SWASTIK,Steel - Medium / Small,44.60,103.61,31.21,0.48,2.41,111.60,2.41,54.64,11.70,49.61,3.32,3.17,7.57,366.75,1.21,0.52,23.23,240.28,10.17,-30.52
T N Steel Tubes,513540,,Steel - Medium / Small,14.75,7.56,21.00,0.79,0.96,3.23,0.96,17.22,11.21,28.71,0.36,0.81,3.13,16.11,0.28,0.34,5.12,23.79,0.76,-1.95
Tata Steel,500470,TATASTEEL,Steel - Large,141.18,176242.44,62.25,1.96,6.55,99391.76,13.18,59.62,13.61,-6.63,2831.41,11.45,7.02,53648.30,2.55,1.10,1247.44,10120.89,2569.47,7868.29
Technocraf.Inds.,532804,TIIL,Steel - Medium / Small,2442.50,5608.39,22.34,3.37,17.44,738.07,17.44,1320.05,19.00,30.28,251.05,15.65,18.68,644.33,11.26,0.44,22.67,1295.58,5.84,42.65
Tube Investments,540762,TIINDIA,Steel - Large,2908.40,56275.76,68.66,10.55,26.48,698.92,24.99,511.84,40.55,61.63,819.65,10.42,26.28,4812.22,14.71,0.13,19.35,4665.66,-147.68,983.29
Tulsyan NEC,513629,,Steel - Medium / Small,47.07,78.45,,0.23,-17.92,322.84,-17.92,,16.39,18.81,-50.63,1.10,-3.17,180.23,-7.40,0.95,16.55,77.33,68.00,335.63
Umiya Tubes,539798,,Steel - Medium / Small,15.78,20.45,,2.28,-14.46,1.60,-14.46,,-70.57,,-3.78,-729.69,-8.17,0.00,-8.20,0.18,10.01,11.12,1.24,-5.57
Unison Metals,538610,,Steel - Medium / Small,24.45,39.17,3.26,1.13,11.32,65.98,11.32,60.54,24.80,28.08,12.01,9.21,14.41,71.15,2.05,1.90,16.02,69.64,4.66,0.29
Usha Martin,517146,USHAMART,Steel - Medium / Small,303.25,9241.29,22.45,3.59,19.21,459.28,15.40,160.43,15.43,41.67,411.67,17.87,22.08,860.54,13.27,0.18,30.54,1456.86,168.34,89.51
